0000109A	Sign function
03A2CD4F	Soft laser desorption
03A315E3	Iterator pattern
03A5B866	Concurring opinion
03A91950	F-term
03AFB255	Kalman decomposition
03B168F7	Hydraulic brake
03BC533C	Copy and paste programming
03C18CFB	Epigenetic regulation of neurogenesis
03C900D7	Economic globalization
03C927E5	Q15X25
03CC7E4C	Gas holder
03CCA029	Pallor mortis
03D01A5E	Internet traffic
03D6F0CE	Text linguistics
03DBEE9B	Gliding motility
03DE4DB7	Hierarchical network model
03DE578B	Drug development
03E0DF77	Control event rate
03E5F134	Robot control
03F39563	C change
03F5A8A7	Breit–Wheeler process
0407252D	Corporate title
040E43F6	Static random-access memory
0410F50E	Plastics engineering
0412C79D	Speedup
04166F12	Altruism
041BB031	Lusitropy
0422308E	Utilization
042BAA5E	Transference
042F7801	Nonsense-mediated decay
04369FB9	Scoring functions for docking
0441C258	Evolution of fungi
04451230	Heart rate variability
0458E212	Planning poker
045DC352	Lithospheric flexure
046110E1	GDF11
047100C5	Net asset value
04714777	Šidák correction
04725144	Fungicide
0475C409	Sulfur cycle
047870BD	Habit
047AFBC0	Cost of poor quality
047BAEDA	Schild regression
0481AAED	Function of a real variable
0482394D	Continental collision
048467A9	Fibrocyte
04849CBF	Gömöri trichrome stain
0495242A	Rental vacancy rate
0495BEF9	Happy path
049EDF00	Accelerating universe
049EF8F3	Interlocutory
04A23F1A	IBM PC compatible
04AA8A1A	Materials management
04AF4EC1	E-commerce
04B4C5A4	Active voice
04B56F66	Information needs
04C43E7C	Kaluza–Klein theory
04CE3F0E	Domain of holomorphy
04D215DB	Phrase structure rules
04D74425	Cathepsin L1
04DAAEDC	Apriori algorithm
04E03B3F	Transplastomic plant
04E1B8A3	Overdetermined system
04E253F0	Quantitative trait locus
04ECB4DC	Homeotropic alignment
04F076CB	Earth inductor compass
04F111FD	PAL
04F15608	Applied spectroscopy
04F6433F	Posterior predictive distribution
04F72E9E	Rijndael key schedule
05017448	Jahn–Teller effect
05058503	Unattended ground sensor
050E0276	Human mitochondrial molecular clock
050FA018	Levy–Mises equations
05123983	Ratio
051640C7	Atmospheric-pressure plasma
051962B8	Intrinsic and extrinsic properties
051B2963	Kovats retention index
052147D8	Householder's method
05233A0D	Electromechanical coupling coefficient
05280E3A	Property rights
052FE124	Magnetic nanoparticles
0532DE4C	Bin packing problem
0537728C	Optical storage
05380128	LCP array
053923E2	Solar apex
053924A4	FIPS 199
053ECA46	Protein adsorption
05422681	Poincaré conjecture
054592FA	Discovery and development of TRPV1 antagonists
05472481	Seed dormancy
0564D8EB	Operation High Roller
057164EF	Simultaneity
057682A9	Blue rose
057B480D	K correction
057E76D5	Law of superposition
058D33E3	Eye
059BF615	Cost accounting
059C162E	Position-effect variegation
059CB4BD	Energy
05A069FC	Galois theory
05AAC2AF	Normal height
05AF3DEF	Maintenance-free operating period
05AF9211	Fully qualified domain name
05B65C36	Ubiquitous commerce
05B84CBD	Quantum t-design
05BA60E8	Vine–Matthews–Morley hypothesis
05BB97CF	Lense–Thirring precession
05C6FB00	Ball
05CC06BE	Wing
05D1DCBB	Cooperation
05D41C87	Incircle and excircles of a triangle
05D52A89	Animal models of schizophrenia
05D9A93C	L-3 SmartDeck
05DEC86B	Integral domain
05E26491	Phylogenetic diversity
05E4F474	Tianhe-2
05E6F33A	Subsistence economy
05E75740	Skyglow
05F59FAD	Pollard's rho algorithm for logarithms
05F8BD3D	Subsurface flow
05FB8228	Crawling
0600A753	Detent
0604A431	Salicylate testing
0607BD50	Vertex figure
0607D228	Landing fee
060BC381	Genetic recombination
06185D72	Carrier signal
061B7415	Token bus network
0626D725	Service life
062E94E9	Polarization
063C79B4	Forkhead box C1
063CD5C8	Card reader
06470683	Cubit
06470CCB	Supermultiplet
064948E9	Torus bundle
06498EAC	Price mechanism
06538196	Random subspace method
06613673	New Executable
066221DE	Fault tree analysis
0669221F	Comet
066B486C	Growth accounting
0674B3D9	Image moment
0677D9E1	Straight skeleton
0678ADA6	Inductive sensor
067FBD77	Refresh rate
068C0182	GPR119
069B1E99	Negative liberty
069E30C6	Curse of dimensionality
069E4254	Graphic matroid
069E515F	Butt welding
06A074A8	Secure Data Aggregation in WSN
06A29F89	Litter
06AA60C9	Fusion gene
06ACED9E	Gyne
06AEB903	Literary magazine
06B3E367	Nothing comes from nothing
06BA67FE	NAT Port Mapping Protocol
06BC6D5C	Genogram
06BD2188	Hygroscopy
06C64809	Excitatory amino-acid transporter
06C706E4	Curve orientation
06C7D06B	Yamabe flow
06C881F2	Carbon dioxide sensor
06C8C477	Liouville's theorem
06CEE0DD	Vacancy defect
06D8A1F0	ISO 13567
06D9A647	Lobry de Bruyn–van Ekenstein transformation
06DAD34C	Telomerization
06DAF96D	Composition of relations
06E5D989	Epilimnion
06ECDBC2	GATA4
06EDD7C7	Planned community
06F24E68	Post-tropical cyclone
06F34AD8	Population viability analysis
06F4C885	Spray nozzle
06F770DA	Egress router
06FC6CBF	Coulomb blockade
06FEB24B	Generalized mean
07013B18	Tsallis entropy
07014CED	Signal edge
0706CB01	Reduction
070EB092	Biological neural network
071145F4	Gummel–Poon model
0715612A	DMS-100
0716CDA7	Analeptic
0716FE19	Native American studies
0718010F	Scutum–Centaurus Arm
07195F10	Sherwood number
071CE95D	Direct finance
0724C65F	Aquaponics
0728BB54	Garbage in, garbage out
072C89C7	Chine
072FDD8E	Alternative hypothesis
073146FC	Fraction of variance unexplained
073167A2	Dense connective tissue
0731E793	Norwegian units of measurement
07369583	Information technology
073957CA	Bowyer–Watson algorithm
073FE687	Generalized beta distribution
07414E2B	Composition algebra
0741B00A	Quenching
074BE1C4	Sapogenin
074F4E6B	Unit
0752DD92	UV mapping
07558C33	Geographic coordinate system
0755C0D1	Seismic loading
07581718	Emergency brake
075AFCA8	Visibility
075D447C	Calcareous
075EC236	Strategic dominance
07623E9F	Point of presence
076D5343	Graph isomorphism problem
076ED336	Entropy
076F7713	Ecliptic pole
07719430	Structuralism
0774894F	Loop group
07750E04	Chemostat
07790132	Stressor
077993DC	Representation theory of the Poincaré group
077A7487	European Project for Ice Coring in Antarctica
077A93AB	H&E stain
0782BF72	Geodesic deviation
0782EFAD	Meristem
078882C9	Power-on reset
078E85E0	Distortion
079B7E41	Koch reaction
079C30DA	Heteroazeotrope
079CE7B9	Core–mantle boundary
07A02D00	Species evenness
07A095A3	Alice and Bob
07A55466	Free lattice
07A605B7	Dyskerin
07AB5EF9	TAE buffer
07ADEBA6	Logic programming
07B58C12	GIANT KILLER
07B97BB5	Logarithm of a matrix
07BC1249	Cardinal number
07BC5EFC	Chebyshev polynomials
07BC9F7D	Arenium ion
07BF52AD	Artificial consciousness
07BFC139	Syngas to gasoline plus
07C15D06	Illusory correlation
07C217B7	Transit instrument
07CAA859	Customer lifetime value
07CC8E2E	Structure validation
07CE5883	Cryogenic seal
07D26478	Linear element
07D47778	Divided government
07D489BC	Reconfigurable antenna
07D9359E	Surrogate model
07DB422A	Oxygen cycle
07DD226C	Family law
07DD2B5D	Electromagnetically induced transparency
07E25BE7	Serial Line Internet Protocol
07E95A7F	Personal boundaries
07ED68F1	Tail of Spence
07EF23AB	Protocol analysis
07F05CE9	Knizhnik–Zamolodchikov equations
07F761A0	Protected health information
07F81246	Harvest
07F92855	Dumaresq
07FB93D5	Troponin C
07FD83BB	Mathematical modeling of electrophysiological activity in epilepsy
0800745C	Contact process
08015A44	Mathematical analysis
08043904	Heteroduplex
08056BF4	Borel–de Siebenthal theory
0806B428	Identical ancestors point
080AB7CB	Tharsis
0810B1E4	Drought deciduous
08115E4B	Contextual inquiry
081298FC	Heliostat
081D4365	Delta bond
081DC6F4	Behavioral sink
0825CDF9	Bitstream
082C3550	Dawson function
08368205	Bresler Pister yield criterion
08386160	Possibility theory
083A3222	Session Description Protocol
08416395	DNase footprinting assay
084D1126	Opinion leadership
0856B19F	XML schema
0856F327	Limit superior and limit inferior
0859B2B2	Link time
08607306	PSRK
0868085B	Genetically modified mouse
087B4725	Faraday wave
08810146	Sea-surface height
08830C8F	Surrogate data
088BF415	Prime farmland
088C99A3	Selberg trace formula
088ED29E	CSA Z299
0896FAF8	Fractal transform
08A8F388	Witching hour
08A8F5E5	Genome engineering
08B6A115	Intelligence
08B8A15C	Pacific–North American teleconnection pattern
08C0378D	Attitude indicator
08D1D01A	Pileup format
08D3731E	HSPA1L
08D3F630	Port Control Protocol
08D43C85	Restricted stock
08D46E93	Bertrand's ballot theorem
08D70E3C	Chassis Air Guide
08DF7AD5	Encyclopedia
08E1A08F	Primitive knot
08E99FE7	Yield spread
08EDABD4	Northwestern blot
08F10116	Scan chain
08F26A66	Reflexive pronoun
08F548FB	Code review
08FE2C30	Apocrine
090092B4	Cumulative dose
09053984	Absorbed dose
090D6974	Two-way communication
0910E012	Soil color
09166788	Increment borer
0917FD5C	Megabias
091E756E	Position and momentum space
091F5C16	Eye movement
091F7515	Magnetic bearing
091FD0D9	Bayesian search theory
0923FE84	Symbol of a differential operator
092403D5	1.96
0925CBE8	Heterozygote advantage
0926251D	Cutworm
0929DFA1	Sclereid
092CB2E0	Hausa
092D46FD	Noun phrase
092EC3FC	Theorem
09344417	Stored procedure
09426F0E	Process management
09454093	Threshold population
09467BC4	Neurolinguistics
09473680	Sorted array
0947CEA5	Vector boson
094F3388	Cetrimide
0952726C	δ13C
095528A2	Eudiometer
09560BBF	Soil horizon
09566266	Payment gateway
0956990F	Shannon capacity of a graph
095BB501	Monoculture
0962730C	Cube-connected cycles
0962A07C	Behavioral systems analysis
09636F67	Radar MASINT
09693690	Explant culture
096A863B	Entatic state
096D45D5	Pathet
096EA0ED	Lozenge
09730F7B	Continuous-time stochastic process
09742AD6	Prosocial behavior
097720D4	Buckskin
097E8D88	Transform theory
09811788	Open Platform Management Architecture
0987EFDA	Integrated injection logic
0988AC38	Nanoengineering
098C82CC	No taxation without representation
098F6EA7	Pressure exchanger
0994037D	Microsoft SmartScreen
099B039F	Gill
09A2762C	Routing
09A7BB5E	Electrorheological fluid
09AEB206	White-box testing
09B4F1FA	Marketing
09B61D0C	Grassmannian
09BB1B00	Fluting
09C1B078	Beta particle
09C54D6A	Delisle scale
09C5BBAB	Resonant-tunneling diode
09CA27F7	Budgeted cost of work performed
09CC84DC	Cyanopsia
09CCF26A	Byzantine law
09D7889A	Basis of estimate
09D9FE3D	The gift that keeps on giving
09DB8E7D	Bäcklund transform
09E01C26	Shear rate
09E30CEA	Stalagmometric method
09E35B6A	Sewerage
09E39FB8	AMP deaminase
09E567C1	Negative stain
09EA8EAA	Channel code
09EDFB09	Isograd
09F00BEB	Nautical time
09F0A268	Auditory phonetics
09F6CE86	Lightweight Extensible Authentication Protocol
09F9C486	MiRTarBase
09FACDF7	Fed-batch culture
0A052AEC	Spectral density
0A0BFACF	Forensic psychology
0A15AB6F	Time projection chamber
0A170AD9	Molecular breeding
0A180F99	Dimensional weight
0A1967DE	Human rights
0A1A71F7	Linear referencing
0A2175BF	Times interest earned
0A236FF7	Persistence of a number
0A25EF22	Bolete
0A314037	Periodic table
0A31D0E2	Equivariant map
0A3292BB	Public
0A33D2A1	Introduction to M-theory
0A343EF1	Antibody microarray
0A38F1E3	Gonopore
0A419BE2	Single-subject research
0A4F8411	Pecking order theory
0A52BF9A	Euler's theorem
0A53289C	Anal triangle
0A5D1344	Three-phase
0A62C725	NAB2
0A6BF064	Persistent uniform resource locator
0A7002CA	Footloose industry
0A713F4B	DNA replication factor CDT1
0A7583BC	Bit-reversal permutation
0A811194	Yield curve
0A81FB5D	CD33
0A884219	Stewart's theorem
0A88CED0	Horseshoe vortex
0A898234	Evapotranspiration
0A90D68C	Set
0A9140C6	Active listening
0A94EA08	Følner sequence
0A967D71	Oil immersion
0A9B9A68	Notation for differentiation
0A9F23F3	Fluctuation-dissipation theorem
0A9F3931	Manifold
0A9F9DB7	CD V-700
0A9FCF60	Càdlàg
0AA076DA	Contemplation
0AA0A6CA	Extant taxon
0AA1D1B4	Culture of poverty
0AA5BC56	Accredited investor
0AA5D5F2	Late effect
0AA702B7	Atlas
0AA9F674	Molecular model
0AAAC3FB	Humid subtropical climate
0AAC4215	Description number
0AAC5CFD	Mokken scale
0AB16CB5	Landscape archaeology
0AB7FBCC	Eudaimonia
0AB9F094	POVM
0AC00690	Adjacency matrix
0AC5424C	Lustre
0AC84720	Da capo
0ACDB9E9	Standard for Exchange of Non-clinical Data
0ACF03FD	Differential extraction
0AD276B0	Place theory
0AD3A235	Swiss German Language
0AD56BED	Geometric group theory
0AD76532	Level structure
0AD95FF9	Order of operations
0AD97CE0	Maladaptation
0ADAD085	Soliton
0ADD52BF	Demerger
0ADE98D0	Slip
0ADEF751	Catmull–Clark subdivision surface
0ADF54F9	Elementary function
0ADFBF45	Junction box
0AE26A66	Ray
0AE27857	HTTP header injection
0AE2EC84	Classical compound
0AEBA6D9	Nuclear density gauge
0AEDCE9F	Pascal matrix
0AF3F1E4	Action learning
0AF5ED49	Educational robotics
0AF690BA	ID3 algorithm
0AF95693	Nonlinear acoustics
0AF958C7	Blood type
0AFFD4C1	Alpha helix
0B0D2F1F	Reading
0B13A8DA	Constellation diagram
0B14A76A	Insurance
0B175DF6	ICONIX
0B185B53	Dielectric heating
0B1A3BDC	Phage display
0B21D9A8	Consensus clustering
0B22601B	Intromittent organ
0B30065F	Patch panel
0B336D95	8-bit
0B340DDE	Subgroup analysis
0B3642B6	Tutte 12-cage
0B3BC41E	Price of stability
0B3DF69C	Argininosuccinate synthase
0B3EDF5C	United States Department of Energy International Energy Storage Database
0B41FC6F	Demand paging
0B45F8CD	Mineralocorticoid receptor
0B494B28	Social choice theory
0B4B7575	MIT Plasma Science and Fusion Center
0B4B78C7	Delta baryon
0B56FA7C	Theta model
0B5A3C7A	Quantum technology
0B5AE072	Seifert–van Kampen theorem
0B64C7DA	Supercontinuum
0B64DF34	Regulatory focus theory
0B6AF428	Serializability
0B6F5521	Empty category
0B7301DC	Trebuchet
0B749A1D	Grain size
0B75A905	Paroxysmal depolarizing shift
0B789DB1	Nirenberg and Matthaei experiment
0B7F3754	Functional block diagram
0B83BF45	GPS/INS
0B88D573	Discharge Monitoring Report
0B89D1DA	Structured light
0B8C9824	Automatic sounding
0B8D6BA7	Random dynamical system
0B8EDC0F	Siliceous ooze
0B907838	Anti-satellite weapon
0B956D67	Newton fractal
0B967538	Steric number
0B994D09	Differential geometry of curves
0B9EE2FC	Historical geology
0BA017A3	Emoticon
0BA5E931	Order
0BA66675	5-HT7 receptor
0BA8EBA4	Lake Discharge Problem
0BB63965	Man-in-the-middle attack
0BBAA407	Maglev
0BBCBF53	Darwinism
0BC31EDA	Conjugate
0BC3BF55	Deindividuation
0BC5173C	Closed convex function
0BD749AC	Staged combustion cycle
0BDF223D	Float glass
0BE1BEC5	Dentistry
0BE35F56	Internal control
0BE96511	Network topology
0BEA6F04	Back-of-the-envelope calculation
0BED568C	Sociocultural linguistics
0BEE38F0	Gauge anomaly
0BF7C2EC	Invadopodia
0BF94C2D	Polyvagal Theory
0C06C7DA	Socio-cognitive
0C075CAE	Disturbance theory
0C09E238	Newton's law of universal gravitation
0C0A6722	PX4 autopilot
0C0FAD36	LITENING
0C134452	Fortunate number
0C179A5F	Multilayer soft lithography
0C1921F6	Constitutive equation
0C1CD8D0	Separation of mechanism and policy
0C1D1619	Babuška–Lax–Milgram theorem
0C25304B	Null
0C2F6BA5	Adjudication
0C353246	Wire transfer
0C3D22FF	Self-assessment
0C3FB2AB	Gram staining
0C40330D	Key escrow
0C41BC12	Adverse pressure gradient
0C559BAE	Collage theorem
0C56995E	In vivo
0C5819C5	Cross-sequential study
0C587D17	Diphyodont
0C5A017A	Kernelization
0C5B711F	Diatreme
0C614CC5	Wink
0C662632	R-factor
1E5AC009	Plastic arts
1E9AA81E	Bernese German phonology
1F058711	Civil law
1F0D5792	Transliteration
1F53462D	Hospitality industry
1F7B31BB	National security
20454208	Military theory
20B77BFC	Petroleum
20E2D724	Wildlife smuggling
214B9A45	Community organizing
00075C57	Acronym
00088C3F	Peripheral membrane protein
0008FACA	Ages of Three Children puzzle
0009AB0C	Jacobi operator
0009E81D	Basis pursuit denoising
00124EA1	Incomplete Nature
001316ED	Theoretical planetology
00156BA1	Delete character
001D4619	Mitoplast
00230833	Glocalization
0024123D	Cochran's C test
002E4331	Fas receptor
002EBBDD	Discrete Poisson equation
0033910A	Canonical coordinates
0034B1D3	Multipolar spindles
00373DC5	Actin remodeling
00398A81	Spiritualism
0040D6A6	Demographic economics
00442480	Base64
0044C837	Temporal fossa
0045B893	Murphy's law
004B58AB	Antimicrobial
0054C452	Circular dependency
0067A228	Trinomial
0067B0ED	Natural units
006BB66F	Pyramidal number
006BE97C	Ultrafiltration
006D164C	Forgetting
006ED5BF	Pointer analysis
00700A5C	Boolean data type
0071FFBE	Ontology editor
007A22C0	Intermediate-density lipoprotein
00871F58	Editing
008B77D9	ADCY3
008E0A35	Heptadecagon
009208EC	Phonogram
009AB2E6	Finance
009F41EA	Nilo-Saharan languages
00A57736	Circular cumulative causation
00A7CC94	Function field of an algebraic variety
00B96011	Dryvax
00BB514D	Sheddase
00BC44E3	Bead probe technology
00BCB5B2	Cable tester
00C14FC9	Thermodynamic state
00C3FE69	Amorphism
00C95131	Rack and pinion
00CCDB00	CXCL11
00CFE7FF	Stuck-at fault
00D104BD	Renal oligopeptide reabsorption
00D36121	Heartbeat
00D880F9	Tacheometry
00D98BFC	Gravitational field
